"STATISTIC","Statistic Label","TLIST(M1)","Month","C02583V03135","NACE Group","UNIT","VALUE"
"RSM07","Turnover generated by Online Sales","201812","2018 December","45","Motor trades (45)","%","1.8"
"RSM07","Turnover generated by Online Sales","201812","2018 December","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","1.8"
"RSM07","Turnover generated by Online Sales","201812","2018 December","4719","Department stores (4719)","%","4.6"
"RSM07","Turnover generated by Online Sales","201812","2018 December","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201812","2018 December","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201812","2018 December","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201812","2018 December","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201812","2018 December","V3970","All retail businesses","%","3.3"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1320","All retail businesses, excluding motor trades","%","5"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","%","5.6"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1340","Retail sale of food (4711,4721 to 4729)","%","1.7"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","%","8.9"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","%","0.9"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","%","5.8"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1380","Retail sale of electrical goods (4741 to 4743,4754)","%","9"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","%","5.4"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","%","21.3"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","%","2.8"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1411","Online or Mail Order","%","84"
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1420","Retail sale of books, newspapers and stationery (4761,4762)","%",""
"RSM07","Turnover generated by Online Sales","201812","2018 December","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","%",""
"RSM07","Turnover generated by Online Sales","201901","2019 January","45","Motor trades (45)","%","0.6"
"RSM07","Turnover generated by Online Sales","201901","2019 January","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","1.7"
"RSM07","Turnover generated by Online Sales","201901","2019 January","4719","Department stores (4719)","%","4.1"
"RSM07","Turnover generated by Online Sales","201901","2019 January","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201901","2019 January","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201901","2019 January","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201901","2019 January","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201901","2019 January","V3970","All retail businesses","%","2.8"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1320","All retail businesses, excluding motor trades","%","4.7"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","%","5.3"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1340","Retail sale of food (4711,4721 to 4729)","%","1.6"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","%","8.4"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","%","1.1"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","%","3.7"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1380","Retail sale of electrical goods (4741 to 4743,4754)","%","5"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","%","6.5"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","%","20.8"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","%","3.6"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1411","Online or Mail Order","%","79.8"
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1420","Retail sale of books, newspapers and stationery (4761,4762)","%",""
"RSM07","Turnover generated by Online Sales","201901","2019 January","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","%",""
"RSM07","Turnover generated by Online Sales","201902","2019 February","45","Motor trades (45)","%","1.5"
"RSM07","Turnover generated by Online Sales","201902","2019 February","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","1.9"
"RSM07","Turnover generated by Online Sales","201902","2019 February","4719","Department stores (4719)","%","3.1"
"RSM07","Turnover generated by Online Sales","201902","2019 February","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201902","2019 February","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201902","2019 February","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201902","2019 February","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201902","2019 February","V3970","All retail businesses","%","3"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1320","All retail businesses, excluding motor trades","%","4.7"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","%","5.3"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1340","Retail sale of food (4711,4721 to 4729)","%","1.8"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","%","8.2"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","%","1.1"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","%","4"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1380","Retail sale of electrical goods (4741 to 4743,4754)","%","5.5"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","%","5.7"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","%","20.8"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","%","3.4"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1411","Online or Mail Order","%","80.6"
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1420","Retail sale of books, newspapers and stationery (4761,4762)","%",""
"RSM07","Turnover generated by Online Sales","201902","2019 February","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","%",""
"RSM07","Turnover generated by Online Sales","201903","2019 March","45","Motor trades (45)","%","1"
