"STATISTIC","Statistic Label","TLIST(M1)","Month","C02583V03135","NACE Group","UNIT","VALUE"
"RSM07","Turnover generated by Online Sales","201903","2019 March","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","1.8"
"RSM07","Turnover generated by Online Sales","201903","2019 March","4719","Department stores (4719)","%","3.8"
"RSM07","Turnover generated by Online Sales","201903","2019 March","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201903","2019 March","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201903","2019 March","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201903","2019 March","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201903","2019 March","V3970","All retail businesses","%","3"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1320","All retail businesses, excluding motor trades","%","3.8"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","%","4.2"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1340","Retail sale of food (4711,4721 to 4729)","%","1.7"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","%","6.2"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","%","0.9"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","%","5.3"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1380","Retail sale of electrical goods (4741 to 4743,4754)","%","7.3"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","%","5.6"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","%","12.8"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","%","3.1"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1411","Online or Mail Order","%","75.1"
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1420","Retail sale of books, newspapers and stationery (4761,4762)","%",""
"RSM07","Turnover generated by Online Sales","201903","2019 March","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","%",""
"RSM07","Turnover generated by Online Sales","201904","2019 April","45","Motor trades (45)","%","1.6"
"RSM07","Turnover generated by Online Sales","201904","2019 April","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","1.7"
"RSM07","Turnover generated by Online Sales","201904","2019 April","4719","Department stores (4719)","%","3.4"
"RSM07","Turnover generated by Online Sales","201904","2019 April","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201904","2019 April","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201904","2019 April","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201904","2019 April","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201904","2019 April","V3970","All retail businesses","%","3"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1320","All retail businesses, excluding motor trades","%","4.5"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","%","5"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1340","Retail sale of food (4711,4721 to 4729)","%","1.6"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","%","8"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","%","0.9"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","%","4.7"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1380","Retail sale of electrical goods (4741 to 4743,4754)","%","6.3"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","%","6.3"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","%","18.6"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","%","3.8"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1411","Online or Mail Order","%","69.4"
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1420","Retail sale of books, newspapers and stationery (4761,4762)","%",""
"RSM07","Turnover generated by Online Sales","201904","2019 April","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","%",""
"RSM07","Turnover generated by Online Sales","201905","2019 May","45","Motor trades (45)","%","1.3"
"RSM07","Turnover generated by Online Sales","201905","2019 May","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","1.7"
"RSM07","Turnover generated by Online Sales","201905","2019 May","4719","Department stores (4719)","%","3.6"
"RSM07","Turnover generated by Online Sales","201905","2019 May","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201905","2019 May","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201905","2019 May","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201905","2019 May","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201905","2019 May","V3970","All retail businesses","%","2.9"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1320","All retail businesses, excluding motor trades","%","4.7"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","%","5.2"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1340","Retail sale of food (4711,4721 to 4729)","%","1.6"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","%","8.2"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","%","1"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","%","3.5"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1380","Retail sale of electrical goods (4741 to 4743,4754)","%","4"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","%","6.5"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","%","20.5"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","%","2.8"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1411","Online or Mail Order","%","81"
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1420","Retail sale of books, newspapers and stationery (4761,4762)","%",""
"RSM07","Turnover generated by Online Sales","201905","2019 May","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","%",""
"RSM07","Turnover generated by Online Sales","201906","2019 June","45","Motor trades (45)","%","2"
"RSM07","Turnover generated by Online Sales","201906","2019 June","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","1.8"
"RSM07","Turnover generated by Online Sales","201906","2019 June","4719","Department stores (4719)","%","4.2"
"RSM07","Turnover generated by Online Sales","201906","2019 June","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201906","2019 June","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201906","2019 June","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201906","2019 June","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201906","2019 June","V3970","All retail businesses","%","3.4"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1320","All retail businesses, excluding motor trades","%","5"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","%","5.6"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1340","Retail sale of food (4711,4721 to 4729)","%","1.7"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","%","8.9"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","%","1"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","%","5"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1380","Retail sale of electrical goods (4741 to 4743,4754)","%","7.4"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","%","5.6"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","%","20.7"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","%","2.4"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1411","Online or Mail Order","%","81.9"
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1420","Retail sale of books, newspapers and stationery (4761,4762)","%",""
"RSM07","Turnover generated by Online Sales","201906","2019 June","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","%",""
"RSM07","Turnover generated by Online Sales","201907","2019 July","45","Motor trades (45)","%","2.2"
"RSM07","Turnover generated by Online Sales","201907","2019 July","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","2"
"RSM07","Turnover generated by Online Sales","201907","2019 July","4719","Department stores (4719)","%","3.6"
"RSM07","Turnover generated by Online Sales","201907","2019 July","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201907","2019 July","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201907","2019 July","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201907","2019 July","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201907","2019 July","V3970","All retail businesses","%","3.4"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1320","All retail businesses, excluding motor trades","%","5"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","%","5.6"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1340","Retail sale of food (4711,4721 to 4729)","%","1.9"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","%","8.8"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","%","1.1"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","%","6.3"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1380","Retail sale of electrical goods (4741 to 4743,4754)","%","9.2"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","%","5.7"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","%","20.7"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","%","2.8"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1411","Online or Mail Order","%","79.8"
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1420","Retail sale of books, newspapers and stationery (4761,4762)","%",""
"RSM07","Turnover generated by Online Sales","201907","2019 July","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","%",""
"RSM07","Turnover generated by Online Sales","201908","2019 August","45","Motor trades (45)","%","1.8"
"RSM07","Turnover generated by Online Sales","201908","2019 August","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","1.6"
"RSM07","Turnover generated by Online Sales","201908","2019 August","4719","Department stores (4719)","%","3.1"
"RSM07","Turnover generated by Online Sales","201908","2019 August","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201908","2019 August","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201908","2019 August","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201908","2019 August","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201908","2019 August","V3970","All retail businesses","%","3.2"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1320","All retail businesses, excluding motor trades","%","4.8"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","%","5.4"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1340","Retail sale of food (4711,4721 to 4729)","%","1.5"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","%","8.6"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","%","1.1"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","%","6.1"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1380","Retail sale of electrical goods (4741 to 4743,4754)","%","9.3"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","%","4.9"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","%","20.8"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","%","3"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1411","Online or Mail Order","%","79.7"
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1420","Retail sale of books, newspapers and stationery (4761,4762)","%",""
"RSM07","Turnover generated by Online Sales","201908","2019 August","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","%",""
"RSM07","Turnover generated by Online Sales","201909","2019 September","45","Motor trades (45)","%","1.6"
"RSM07","Turnover generated by Online Sales","201909","2019 September","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","1.8"
"RSM07","Turnover generated by Online Sales","201909","2019 September","4719","Department stores (4719)","%","3.8"
"RSM07","Turnover generated by Online Sales","201909","2019 September","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201909","2019 September","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201909","2019 September","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201909","2019 September","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201909","2019 September","V3970","All retail businesses","%","3.2"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1320","All retail businesses, excluding motor trades","%","5"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","%","5.6"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1340","Retail sale of food (4711,4721 to 4729)","%","1.7"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","%","8.9"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","%","1.1"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","%","6.3"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1380","Retail sale of electrical goods (4741 to 4743,4754)","%","9.9"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","%","5.2"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","%","21.4"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","%","3.2"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1411","Online or Mail Order","%","83.2"
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1420","Retail sale of books, newspapers and stationery (4761,4762)","%",""
"RSM07","Turnover generated by Online Sales","201909","2019 September","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","%",""
"RSM07","Turnover generated by Online Sales","201910","2019 October","45","Motor trades (45)","%","2"
"RSM07","Turnover generated by Online Sales","201910","2019 October","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","1.8"
"RSM07","Turnover generated by Online Sales","201910","2019 October","4719","Department stores (4719)","%","4.4"
"RSM07","Turnover generated by Online Sales","201910","2019 October","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201910","2019 October","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201910","2019 October","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201910","2019 October","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201910","2019 October","V3970","All retail businesses","%","3.4"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1320","All retail businesses, excluding motor trades","%","5"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","%","5.7"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1340","Retail sale of food (4711,4721 to 4729)","%","1.7"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","%","9.1"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","%","1.2"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","%","6.3"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1380","Retail sale of electrical goods (4741 to 4743,4754)","%","10"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","%","5.6"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","%","21.3"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","%","3.2"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1411","Online or Mail Order","%","83.3"
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1420","Retail sale of books, newspapers and stationery (4761,4762)","%",""
"RSM07","Turnover generated by Online Sales","201910","2019 October","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","%",""
"RSM07","Turnover generated by Online Sales","201911","2019 November","45","Motor trades (45)","%","2.3"
"RSM07","Turnover generated by Online Sales","201911","2019 November","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","%","1.8"
"RSM07","Turnover generated by Online Sales","201911","2019 November","4719","Department stores (4719)","%","5.7"
"RSM07","Turnover generated by Online Sales","201911","2019 November","4730","Retail sale of automotive fuel (4730)","%",""
"RSM07","Turnover generated by Online Sales","201911","2019 November","4752","Retail sale of hardware, paints and glass (4752)","%",""
"RSM07","Turnover generated by Online Sales","201911","2019 November","4759","Retail sale of furniture and lighting (4759)","%",""
"RSM07","Turnover generated by Online Sales","201911","2019 November","5630","Bars (5630)","%",""
"RSM07","Turnover generated by Online Sales","201911","2019 November","V3970","All retail businesses","%","4"
